Timestamp,CPU Temp (°C),GPU Temp (°C),Motherboard Temp (°C)
2024-11-19 08:21:08,79,60,70
2024-11-19 08:21:18,83,61,87
2024-11-19 08:21:28,63,65,52
2024-11-19 08:21:38,48,62,50
2024-11-19 08:21:48,71,75,47
2024-11-19 08:21:58,54,61,85
2024-11-19 08:22:08,43,56,81
2024-11-19 08:22:18,68,68,65
2024-11-19 08:22:28,69,77,40
2024-11-19 08:22:38,52,54,61
2024-11-19 08:22:48,57,87,50
2024-11-19 08:22:58,65,42,69
2024-11-19 08:23:08,75,68,49
2024-11-19 08:23:18,58,47,50
2024-11-19 08:23:28,70,76,58
2024-11-19 08:23:38,59,57,66
2024-11-19 08:23:48,66,60,52
2024-11-19 08:23:58,70,56,88
2024-11-19 08:24:08,67,55,61
2024-11-19 08:24:18,56,69,74
2024-11-19 08:24:28,65,50,47
2024-11-19 08:24:38,87,81,52
2024-11-19 08:24:48,75,86,53
2024-11-19 08:24:58,89,71,81
2024-11-19 08:25:08,49,45,43
2024-11-19 08:25:18,78,50,73
2024-11-19 08:25:28,42,87,58
2024-11-19 08:25:38,73,76,68
2024-11-19 08:25:48,68,43,82
2024-11-19 08:25:58,83,83,73
2024-11-19 08:26:08,52,46,52
2024-11-19 08:26:18,65,79,81
2024-11-19 08:26:28,63,45,85
2024-11-19 08:26:38,58,78,63
2024-11-19 08:26:48,74,84,79
2024-11-19 08:26:58,70,52,49
2024-11-19 08:27:08,62,57,64
2024-11-19 08:27:18,66,68,64
2024-11-19 08:27:28,54,75,50
2024-11-19 08:27:38,50,60,82
2024-11-19 08:27:48,87,47,88
2024-11-19 08:27:58,71,84,76
2024-11-19 08:28:08,70,79,75
2024-11-19 08:28:18,69,78,73
2024-11-19 08:28:28,89,43,40
2024-11-19 08:28:38,70,59,51
2024-11-19 08:28:48,52,53,64
2024-11-19 08:28:58,48,80,85
2024-11-19 08:29:08,67,88,68
2024-11-19 08:29:18,66,47,47
2024-11-19 08:29:28,45,40,63
2024-11-19 08:29:38,45,62,52
2024-11-19 08:29:48,56,43,50
2024-11-19 08:29:58,53,80,64
2024-11-19 08:30:08,61,46,57
2024-11-19 08:30:18,83,43,72
2024-11-19 08:30:28,45,80,86
2024-11-19 08:30:38,57,84,60
2024-11-19 08:30:48,65,84,61
2024-11-19 08:30:58,47,48,45
2024-11-19 08:31:08,66,45,53
2024-11-19 08:31:18,60,68,56
2024-11-19 08:31:28,59,75,53
2024-11-19 08:31:38,47,70,55
2024-11-19 08:31:48,55,76,50
2024-11-19 08:31:58,75,60,82
2024-11-19 08:32:08,80,42,87
2024-11-19 08:32:18,81,47,74
2024-11-19 08:32:28,69,69,67
2024-11-19 08:32:38,70,52,46
2024-11-19 08:32:48,68,80,57
2024-11-19 08:32:58,41,65,68
2024-11-19 08:33:08,41,59,77
2024-11-19 08:33:18,43,72,63
2024-11-19 08:33:28,48,48,62
2024-11-19 08:33:38,88,66,70
2024-11-19 08:33:48,57,57,75
2024-11-19 08:33:58,64,81,67
2024-11-19 08:34:08,69,68,55
2024-11-19 08:34:18,70,47,84
2024-11-19 08:34:28,63,65,80
2024-11-19 08:34:38,44,79,82
2024-11-19 08:34:48,81,51,78
2024-11-19 08:34:58,43,80,45
2024-11-19 08:35:08,78,56,81
2024-11-19 08:35:18,67,87,43
2024-11-19 08:35:28,61,80,81
2024-11-19 08:35:38,53,70,48
2024-11-19 08:35:48,77,46,42
2024-11-19 08:35:58,54,81,40
2024-11-19 08:36:08,89,56,87
2024-11-19 08:36:18,53,56,51
2024-11-19 08:36:28,64,52,80
2024-11-19 08:36:38,66,59,50
2024-11-19 08:36:48,52,52,61
2024-11-19 08:36:58,76,68,65
2024-11-19 08:37:08,58,70,73
2024-11-19 08:37:18,80,69,70
2024-11-19 08:37:28,73,70,59
2024-11-19 08:37:38,42,84,45
