Timestamp,CPU Temp (°C),GPU Temp (°C),Motherboard Temp (°C),RAM Temp (°C),PSU Temp (°C),SSD Temp (°C),Case Temp (°C)
2024-11-19 08:21:08,62,49,51,75,70,59,66
2024-11-19 08:21:18,76,70,79,50,60,71,48
2024-11-19 08:21:28,68,83,71,55,67,71,54
2024-11-19 08:21:38,46,58,57,82,41,58,48
2024-11-19 08:21:48,46,59,86,79,84,57,79
2024-11-19 08:21:58,86,63,67,61,72,78,63
2024-11-19 08:22:08,40,72,53,57,46,74,45
2024-11-19 08:22:18,82,51,56,41,57,63,52
2024-11-19 08:22:28,72,78,72,53,49,72,81
2024-11-19 08:22:38,55,67,45,41,45,71,85
2024-11-19 08:22:48,44,76,41,54,59,72,68
2024-11-19 08:22:58,65,68,54,53,61,40,45
2024-11-19 08:23:08,63,42,75,46,69,50,88
2024-11-19 08:23:18,43,72,51,68,47,52,54
2024-11-19 08:23:28,43,42,67,66,87,52,74
2024-11-19 08:23:38,60,58,65,63,50,44,87
2024-11-19 08:23:48,75,55,46,55,89,44,81
2024-11-19 08:23:58,48,43,51,52,88,83,80
2024-11-19 08:24:08,46,65,49,76,54,64,46
2024-11-19 08:24:18,46,63,47,75,59,66,72
2024-11-19 08:24:28,56,63,78,54,44,58,64
2024-11-19 08:24:38,64,46,47,82,78,54,40
2024-11-19 08:24:48,58,60,85,67,80,74,86
2024-11-19 08:24:58,41,68,44,85,75,49,79
2024-11-19 08:25:08,75,67,54,82,79,64,88
2024-11-19 08:25:18,58,79,82,64,50,60,83
2024-11-19 08:25:28,82,70,82,46,86,65,45
2024-11-19 08:25:38,55,57,74,68,50,60,43
2024-11-19 08:25:48,44,79,73,86,87,76,67
2024-11-19 08:25:58,57,88,49,52,61,70,87
2024-11-19 08:26:08,88,41,87,83,43,46,48
2024-11-19 08:26:18,75,84,46,75,64,56,72
2024-11-19 08:26:28,65,46,79,89,81,55,53
2024-11-19 08:26:38,85,41,76,81,74,51,73
2024-11-19 08:26:48,62,80,45,40,69,42,42
2024-11-19 08:26:58,64,47,58,50,48,52,82
2024-11-19 08:27:08,63,71,70,87,49,88,69
2024-11-19 08:27:18,69,63,66,43,44,45,60
2024-11-19 08:27:28,44,51,76,79,78,77,61
2024-11-19 08:27:38,73,50,81,61,45,42,62
2024-11-19 08:27:48,78,50,55,79,72,59,85
2024-11-19 08:27:58,57,62,64,68,47,64,71
2024-11-19 08:28:08,61,71,63,51,80,73,68
2024-11-19 08:28:18,72,83,60,86,80,70,60
2024-11-19 08:28:28,55,83,62,56,45,64,63
2024-11-19 08:28:38,54,74,73,43,55,59,57
2024-11-19 08:28:48,81,78,56,57,43,48,68
2024-11-19 08:28:58,55,42,48,54,42,55,70
2024-11-19 08:29:08,81,79,80,48,87,68,40
2024-11-19 08:29:18,73,60,59,78,66,60,75
2024-11-19 08:29:28,77,57,40,60,87,65,84
2024-11-19 08:29:38,75,53,85,65,42,78,73
2024-11-19 08:29:48,63,66,88,48,46,79,76
2024-11-19 08:29:58,59,41,77,77,86,58,75
2024-11-19 08:30:08,73,52,59,62,86,63,75
2024-11-19 08:30:18,50,85,71,61,43,46,46
2024-11-19 08:30:28,79,45,43,56,63,51,71
2024-11-19 08:30:38,85,65,79,63,55,61,65
2024-11-19 08:30:48,81,47,45,73,43,60,41
2024-11-19 08:30:58,71,79,87,50,64,85,45
2024-11-19 08:31:08,79,73,63,63,58,60,78
2024-11-19 08:31:18,54,71,47,87,40,40,88
2024-11-19 08:31:28,61,67,59,42,85,62,75
2024-11-19 08:31:38,62,83,54,46,60,69,77
2024-11-19 08:31:48,89,70,64,79,71,65,51
2024-11-19 08:31:58,74,55,72,83,72,87,88
2024-11-19 08:32:08,67,41,85,52,85,43,55
2024-11-19 08:32:18,77,40,72,72,68,42,44
2024-11-19 08:32:28,69,49,61,87,82,89,40
2024-11-19 08:32:38,82,52,83,80,51,66,42
2024-11-19 08:32:48,81,89,51,74,62,84,79
2024-11-19 08:32:58,81,40,55,70,53,56,49
2024-11-19 08:33:08,65,85,86,58,74,64,45
2024-11-19 08:33:18,73,48,78,58,85,56,43
2024-11-19 08:33:28,40,43,86,62,66,76,48
2024-11-19 08:33:38,67,74,40,64,54,82,48
2024-11-19 08:33:48,55,63,57,54,53,78,89
2024-11-19 08:33:58,52,77,88,79,82,48,47
2024-11-19 08:34:08,79,68,67,56,48,62,87
2024-11-19 08:34:18,85,41,72,65,75,52,40
2024-11-19 08:34:28,60,61,45,68,55,44,65
2024-11-19 08:34:38,45,61,86,58,70,75,43
2024-11-19 08:34:48,54,75,53,74,71,62,55
2024-11-19 08:34:58,64,87,52,76,83,64,89
2024-11-19 08:35:08,79,60,63,82,86,74,59
2024-11-19 08:35:18,84,45,51,44,61,59,89
2024-11-19 08:35:28,46,61,64,80,50,56,70
2024-11-19 08:35:38,47,45,76,75,51,47,68
2024-11-19 08:35:48,72,79,67,79,52,87,46
2024-11-19 08:35:58,62,47,73,73,51,46,59
2024-11-19 08:36:08,64,56,58,70,69,64,45
2024-11-19 08:36:18,46,57,81,78,74,77,67
2024-11-19 08:36:28,57,78,64,65,67,58,56
2024-11-19 08:36:38,89,57,73,56,60,49,79
2024-11-19 08:36:48,81,61,52,86,47,65,45
2024-11-19 08:36:58,81,74,59,79,42,89,44
2024-11-19 08:37:08,52,67,88,46,89,59,71
2024-11-19 08:37:18,88,45,44,82,42,64,73
2024-11-19 08:37:28,82,61,52,49,58,79,60
2024-11-19 08:37:38,78,74,86,48,40,40,77
